city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2017378,Rudnogorsk,RU,57.26,103.75,01/24/20,            18.9,93,100,9.66
3049885,Kiskunfelegyhaza,HU,46.71,19.84,01/24/20,            28.36,100,90,4.92
4034188,Moerai,PF,-22.43,-151.33,01/24/20,            80.29,78,66,8.97
1106643,Quatre Cocos,MU,-20.21,57.76,01/24/20,            78.46,100,75,14.99
2984701,Quimper,FR,48,-4.1,01/24/20,            40.75,87,90,4.7
1853174,Sakaiminato,JP,35.55,133.23,01/24/20,            43.72,75,75,14.99
1256734,Shahgarh,IN,24.32,79.13,01/24/20,            53.83,46,0,1.77
1609990,Khao Wong,TH,16.7,104.09,01/24/20,            70.56,59,100,3.13
1142226,Dawlatabad,AF,36.41,64.91,01/24/20,            42.67,72,0,5.48
1711332,Idtig,PH,6.8,124.77,01/24/20,            74.88,87,68,1.92
60019,Eyl,SO,7.98,49.82,01/24/20,            79.23,85,99,21.85
5423294,Golden,US,39.76,-105.22,01/24/20,            52.23,25,1,9.17
1529102,Urumqi,CN,43.8,87.6,01/24/20,            -0.4,84,40,2.24
2027316,Ayan,RU,56.45,138.17,01/24/20,            -24.81,74,58,9.46
1214026,Sabang,ID,5.89,95.32,01/24/20,            82.54,74,0,17.56
